Status,Bar Category,wine_style,Country,Region,Sub_region,3th_region,serial No.,vintage,name_en,name_zh,capacity_mL,alcoholicity,variety,rating,rating_rp,rating_ws,rating_jr,rating_am,info,image_id,enoteca_price,Source,trade_price,real_cost,,cellar_price,年份,期初存货,购入数量汇总,销售量汇总by bottle,销售数量汇总by glass,销售数量汇总tasting flights,内部调货数量汇总-兕维,损耗数量汇总,库存数量,实盘数量,存储位置,送货单单价,供应商供货总价,内部调货金额汇总兕维,销售成本,存货,AL+AM,Total real_cost,Total enoteca_price,销售单价  by bottle,销售单价 by glass,销售单价tasting flights,损耗金额汇总表,销售额汇总表,备注,购货价比对,库存比对,,盘存状态,
ON,by_btl,Sparkling,France,Champagne,,,1001,NV,Champagne Louis Roederer Brut Premium,路易王妃香槟,750,12.00%,"Pinot Noir/40%
Chardonnay/40% 
Pinot Meunier/20%",4.5,,91,16,,"路易王妃香槟NV融合了来自40个葡萄园中6个不同的年份的黑比诺,霞多丽,皮诺莫尼耶葡萄。储於橡木桶36个月，是上乘的香槟。色泽呈淡金色，果香优雅怡人，酒质丰满，有结构感，复杂多变化。
Brut Premier embodies the Louis Roederer house style, gracefully blending the old and new. Made from reserve wines, it allies the freshness of youth the roundness and vinosity of mature wine. This is structured, expansive Champagne with a smooth attack and a modern, powerful style with no loss of finesse.",Louis_Roederer_brut_nv.png,¥980.00,LKS,,¥364.29,,¥455.36,NV,0,24,4,8,0,0,2,16.4,,乙3己1,364.29,8742.09,0,2040.024,5973.486,8742.09,"¥8,739.48","¥3,920",3920,512,0,728.58,4944,SM 3瓶364,F,F,T,Y,F
ON,by_btl,Sparkling,France,Champagne,,,1002,NV,Moët & Chandon Brut NV Imperial,酩悅绝干香檳,750,12.50%," Pinot Noir/30-40%
 Pinot Meunier/30-40%
 Chardonnay/20-30%",,,,,,"Moët Impérial is the House’s iconic champagne. Created in 1869, it embodies the unique Moët & Chandon style. A style that distinguishes itself by its bright fruitiness, its seductive palate and its elegant maturity.                                                                 作为酩悦香槟品牌的旗舰系列，首批酩悦香槟于1869年问世，体现了该品牌最引以为荣的标志性风格：欢欣明快的果香，鲜活诱人的口感，以及优雅成熟的气质诠释了酩悦香槟令人愉悦的无限魅力。",Moet_et_Chandon_Imperial_Brut_NV.png,¥680.00,MHD,¥395.00,¥365.00,,¥456.25,,0,12,1,0,0,0,0,11,,"冰箱1,r1,2，5号箱",365,3666,0,8,3658,3666,"¥4,380",¥680,2720,0,0,0,680,,F,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1003,NV,Champagne Devaux Grande Réserve ,帝宝 格兰蒂 珍藏 香槟,750,12.00%,"Pinot Noir/70%
Chardonnay/30% ",,,,,,"金黄色泽，花香浓郁，带有淡淡的核类水果的果香，例如桃子和杏儿。结构精致，香气浓郁，层次复杂，回味中有一丝黄李的果香。Gold yellow. Floral perfumes with hints of stone fruits such as peach and apricot. Fine, intense and complex with a touch of yellow plum on the finish.",,¥720.00,TWR,¥428.00,¥285.00,,¥356.25,NV,0,6,2,0,0,0,0,4,,冰箱1,285,1710,0,570,1140,1710,"¥1,710","¥1,440",2880,0,0,0,1440,,T,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1004,NV,Champagne Lallier Grande Réserve,乐蕾珍藏香槟,750,12.50%,"pinot noir/65% 
chardonnay/35% ",,,92,,,"Lallier’s stunning flagship blend delivers an energising citrusy palate with an equal measure of ripe, toasty fruit. Jancis Robinson awarded this wine Top NV & Best Value Champagne in a blind tasting against all the famous names
本款香槟呈现美丽的金黄色，口感圆润，回味持久。散发出黄油、奶油以及杏果的香气。只需浅尝一口Grande Réserve，您就会被它的优雅所折服。本款香槟酒体平衡、清新爽口、令人愉悦。  
评分: WS 92, AM 91
",Champagne_LALLIER_Grande_Reserve.png,¥840.00,KER,¥420.00,¥360.00,,¥450.00,NV,0,3,0,0,0,0,0,3,,q1-3,360,1080,0,0,1080,1080,"¥1,080",¥0,0,0,0,0,0,,T,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1005,NV,Laurent-Perrier Brut NV,罗兰百悦香槟                      ,750,,"Chardonnay /50% 
Pinot Noir/35%
Pinot Meunier/15%                                              ",,,,,,"ASPECT
Pale gold in colour with a steady flow of fine and persistent bubbles.
AROMA
Delicate yet complex, fresh and well-balanced with hints of citrus and white fruits.
TASTE
Well defined, subtly rounded with expressive flavours. The fruit progressively emerges to reveal a finely balanced champagne displaying great length on the finish
外观 - 酒体呈现浅金色，稳定持续的细洁气泡；                        
香气 - 雅致与内涵并存，清新，具有很好的平衡感，释放柑橘和外色水果的芳香；
口感 - 酒体轮廓清晰，出众的果香呈现精湛饱满的内涵。层层递进的水果口感通过其微妙的悠长结尾充分向人展现了一款酒体精致、平衡的香槟。",champagne_laurent_perrier.png,¥850.00,ASC,¥436.00,¥340.00,,¥425.00,,0,2,0,0,0,0,0,2,,冰箱1,340,680,0,0,680,680,¥680,¥0,0,0,0,0,0,,T,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1006,NV,Veuve Clicquot Yellow Label,凯歌皇牌香槟,750,12.50%," Pinot Noir/50-55%
 Chardonnay/28-33%
 Pinot Meunier/15-20%",,,,,,"First, Yellow Label looks beautiful: golden-yellow, with a foaming necklace of tiny bubbles. Next it is so pleasing to the nose: initially reminiscent of white fruits and raisins, then of vanilla and later of brioche. Note the fine balance between the fruity aromas coming from the grape varieties and the toasty aromas following the ageing in the bottle. The first sip delivers all the freshness and forcefulness so typical of Yellow Label with a symphony of fruit tastes following on. Here is a true member of the powerful Brut family, well structured, admirably vinous. The lingering aromas echo and re-echo, with each fruit or spice note distinct.                                                                                                            首先，凯歌皇牌香槟看上去非常美丽: 金黄色，细小的泡沫组成的气泡链。其次是它惹人的味道: 最初是白色水果和树脂的气味，然后是香草的气味，最后是奶油蛋糕的味道。果香之间的完美协调来自葡萄的品种，酒瓶中的陈酿过程带来烤面包的香味。
初尝体现出新鲜和强劲，然后是皇牌香槟和谐的果味。它是真正的强劲Brut 家族成员，结构充实丰厚、上等的葡萄酒。夹带每种水果或香料气味的芳香久弥不散。
皇牌香槟设法协调两种相反的因素 – 强劲和精致 – 使它们保持完美的和谐状态。这种和谐使其成为开胃酒的理想选择，像香槟一样随餐享用。",Veuve_Clicquot_Brut_NV_Beautyshot.png,¥880.00,MHD,¥420.00,¥398.00,,¥497.50,,0,6,1,0,0,0,0,5,,"冰箱1,r3",398,2032,0,398,1634,2032,"¥2,388",¥880,3520,0,0,0,880,,F,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1007,NV,Champagne Jacquesson Cuvee No. 735,雅克森特酿735号香槟（起泡葡萄酒）,750,12.00%,"Chardonnay/47%
Pinot Noir/33% 
Pinot Meunier/20% ",,,92,,,"""The NV Brut Cuvée No735 is a gorgeous, fleshy wine laced with radiant fruit. Lemon, white flowers, spices and crushed rocks are some of the notes that inform this deep, satisfying Champagne. A round, creamy finish wraps things up in style. The 735 got better and better over time, always a good sign. The 735 is 72% 2007 juice, 47% Chardonnay, 33% Pinot Noir and 20% Meunier. It is a bit richer, rounder and more immediate than the 734, not a bad thing for a wine meant to be enjoyed on the young side. This bottle was disgorged in the first quarter, 2011."" - WA""735号无年份干香槟是一款充满了活力果味的丰满华美佳酿。这款极具深度，让人满意的香槟充满了柠檬、白花、香料和压碎的岩石味。圆润、充满了奶油香的余韵是那么的有風格。现在735号香槟随着时间的流逝变的越来越好，这是一个好的徵兆。735号香槟由72%的2007年葡萄汁、47%的霞多丽，20%的莫尼混合而成。和734号香槟相比，她更加浓厚、圆润也更加的早熟，但这对一款很多時在年輕時就被品鉴的佳酿来说，这并不是一件坏事。此瓶佳酿在2011年的第一季度除渣。"" - WA",Champagne_Jacquesson_Cuvée735bouteille.png,"¥1,150.00",KER,,¥460.00,,¥575.00,NV,0,3,0,0,0,0,0,3,,p1-3,460,1380,0,0,1380,1380,"¥1,380",¥0,0,0,0,0,0,,T,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1008,NV,G.H.Mumm de Cramant Blanc de Blancs,玛姆克拉芒白中白尊选香槟,750,,"Chardonnay/50%
Pinot Noir/45%
Pinot Meunier/5%",,,,,,此酒呈清澈的浅金色。白色花香轻盈：山楂、椴花、白色苜蓿，然后过渡到果香和异国香料：胡椒、鲜姜、茴香、菠萝。酒体精致清新，入口轻盈而有丝滑口感；其香气与嗅觉一致，一重细致的果香更觉立体：白色水果和黄色水果的香气在口中交替呈现；架构均衡，矿物香气贯穿始终。余味悠长。,,"¥1,260.00",PRC,¥748.00,¥598.00,,¥747.50,,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,¥0,¥0,0,0,0,0,0,,T,T,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1009,NV,Champagne Louis Roederer Blanc de Blancs,路易王妃珍藏白之白香槟,750,,,,,,,,"王妃水晶香槟是细致丰腴、和谐的葡萄酒:丰富且具优秀的陈年潜力。明亮的黄色，呈现出与淡琥珀色的细微差别，及精细和持续柔和的冒泡，给人一种极深刻的花香味。白果、甜美花粉、柑橘、极纯的矿物味，散发芳香的优雅、霞多丽的精致。
Cristal is a precise, harmonious wine: rich and powerful with superb aging potential.Brilliant yellow color displaying light amber nuances, combined with an ultra-fine, persistent, soft effervescence. There’s an intense, highly expressive bouquet on the first nose! The aromatic elegance and precision of Chardonnay is apparent: white fruit, sweet pollen, fine citrus fruit and very pure minerality.",Cristal_louis_roederer_2004.png,"¥2,180.00",LKS,"¥1,200.00",¥815.00,,"¥1,018.75",2006,0,6,3,0,0,0,0,3,,己1，冰箱1,815,4890,0,2445,2445,4890,"¥4,890","¥6,540",8720,0,0,0,6540,,T,F,T,Y,
ON,by_btl,Sparkling,France,Champagne,,,1010,NV,Krug Grande Cuvée,库克陈年香槟,750,,,,,,,,,,"¥2,960.00",MHD,,"¥1,412.00",,"¥1,765.00",,0,1,0,0,0,0,0,1,,P1,,1412,0,0,1412,1412,"¥1,412",¥0,0,0,0,0,0,不知道哪瓶,T,F,T,,
