Status,Bar Category,wine_style,Country,Region,Sub_region,3th_region,serial No.,vintage,name_abbr,name_en,name_zh,capacity_mL,alcoholicity,variety,rating,rating_rp,rating_ws,rating_jr,rating_am,info,img_id,image_id,trade_price,real_cost,cellar_price,enoteca_price,mark-up,margin_%,Source,
ON,by_btl,Red,US,California,,,4251,2009,,Canyon Road Cabernet Sauvignon,凯岚加本内苏维翁红葡萄酒,750,13.00%,Cabernet Sauvignon,,,,,,"此款酒酒体适中，多汁水果风味，略带些许辛辣，香草以及橡木味。
The Cabernet Sauvignon is medium‐bodied and possesses rich dark fruit characters supported by spice, hints ofvanilla and oak.",,Canyon_Road_cabernet_sauvignon.png,¥	69.00,¥	42.00,¥	50.40,¥	260.00,519%,84%,Tohzen,
ON,by_btl,Red,US,California,,,4252,2009,,Canyon Road Pinot Noir,凯岚黑皮诺红葡萄酒,750,13.00%,Pinot Noir,,,,,,"此款酒口感丰富，前味带有樱桃的风味，单宁柔和，酒体适中，余味带给你如天鹅绒般的丝滑。
Rich, fruit forward cherry flavors, soft tannins, medium body and a smooth velvety finish.",,Canyon_road_california_pinot_noir.png,¥	69.00,¥	42.00,¥	50.40,¥	260.00,519%,84%,Tohzen,
ON,by_btl,Sparkling,France,France Sparkling,,,1030,NV,,"Duc de Paris Brut, Compagnie Française des Grands Vins",巴黎公爵起泡葡萄酒                              ,750,, Ugni blanc/100%,,,,,,"Fresh and acidulous wine with a fine scent of white flower, grape and brioche. Lovely on the palate and sufficient persistency. Enjoy as an aperitif or at any time. 
口感鲜爽，略带酸味，十分怡人。散发着一丝精致的白花、葡萄与奶油蛋糕的芬芳。口味浓郁而持久。可作为理想的餐前酒，同时适合任何场合饮用。",,duc_de_paris_vin_mousseux.png,¥	57.00,¥	44.00,¥	52.80,¥	198.00,350%,78%,ASC,
ON,by_btl,White,France,Bordeaux,Bordeaux Blanc,,2001,2011,Lafite Légende Blanc,Lafite Légende Bordeaux Blanc,传奇波尔多法定产区白葡萄酒                              ,750,,"Sémillon/60% 
Sauvignon/40% ",,,,,,"Beautiful straw colour with hints of pale gold.
The nose is subtle and complex, developing aromas of ripe fruit (quince, pear and pineapple) as it is
swirled in the glass.
In the mouth, after a full-bodied attack, it is rounded and flavourful with a pleasant fruity finish.
The wine is to be served with white meats and cheese rather than as an aperitif. 酒体呈美丽的淡黄色，边缘泛淡金色光泽。
香气微妙丰富，有柏树，梨子，和凤梨的芳香。
口感饱满，充满了愉悦的水果气息，回味无穷。
此款酒可与白肉与奶酪搭配，更胜于仅仅作为一款开胃酒。
",,legende_de_lafite_blanc_2010.png,¥	115.00,¥	115.00,¥	138.00,¥	360.00,213%,68%,ASC,
ON,by_btl,White,France,Bordeaux,Bordeaux Blanc,,2002,2008,Mascaron Ginestet Blanc,Mascaron Par Ginestet Bordeaux Blanc,吉娜斯至尊波尔多干白葡萄酒                              ,750,,"semillon/50%
sauvignon blanc/50%",,,,,,"This wine displays a brilliant gold pale color. The nose is very fine, pleasant and complex, full of fruits and delicate notes of wood and vanilla. With a lively attack, this well-structured wine offers good length on the finish.
Enjoy with grilled chicken and seafood dishes.
此酒呈明亮的淡金色，散发出精致而怡人的果香、木香和香草的混合芳香。酒体活跃，结构完美，回味持久。
适合搭配烤鸡肉和海鲜类菜肴。
",,,¥	147.00,¥	115.00,¥	138.00,¥	360.00,213%,68%,ASC,
ON,by_btl,Red,US,California,Lido,,4271,NV,,Rivercrest California Red (semi-dry),利弗兰加州红葡萄酒,750,11.50%,"Cabernet
Ruby Cabernet
Merlot",,,,,,"利弗兰红是一款酒体适中的葡萄酒，具柔滑醇厚的余香，黑莓 果香令酒味厚重，非常适合搭配精致菜肴与朋友小酌每日饮用.
Rivercrest Red is a medium‐bodied red wine with a smooth well‐rounded finish. Hints of black cherry fruit add depth and richness to a taste thatcan be enjoyed day after day with good food and friends.",,rivercrest_california_red_nv.png,¥	48.00,¥	44.00,¥	52.80,¥	198.00,350%,78%,Tohzen,
ON,by_btl,Red,Chile,Central Valley,Maipo,,4289,2011,,Santa Rita Gran Hacienda Merlot,桑塔丽塔古园梅洛红葡萄酒                              ,750,,Merlot/100%,,,,,,"Deep, red color, with violet and ruby hues. Fragrant
aromas of fresh strawberry, plum and vanilla are complemented by a hint of dried
herbs. Its sweet, well-rounded flavor, rich in fruity undertones, is enhanced by soft tannins and a pleasing note of oak. A treat to be enjoyed on all occasions.

Food Pairing: Ideal for informal ""home style"" foods, mild cheeses and pastas。 深红宝石色，带有紫罗兰的色晕，新鲜草莓，李子和香草的芳香由干药草的清香得到加强。入口甘甜，圆润，果味十足，并由柔软的丹宁和橡木桶的芳香得到提升。能适合任意场合的饮用。
搭配非正式场合的家居用餐，清淡芝士和意大利面食。
",,Santa_rita_gran_hacienda_merlot_2007.png,¥	64.00,¥	44.00,¥	52.80,¥	198.00,350%,78%,ASC,
ON,by_btl,Red,France,Languedoc-Roissillon,VDF,,4089,2011,,Le Bosq Rouge Vin de France,博斯克红葡萄酒 ,750,12.50%,"Carignan/63%
Grenache/25%
Syrah/12%",,,,,,"此酒色泽鲜红，配合柔软和圆滑口感和水果的味道。
Red color shows a ripe fruit character overlaid with spicy notes of aromatic hers and a soft, round and fruity flavour.",,Le_Bosq_vdf_rouge.png,¥	70.00,¥	45.00,¥	54.00,¥	228.00,407%,80%,LKS,
ON,by_btl,Red,Chile,Central Valley,Maipo,,4290,2012,,Santa Rita Gran Hacienda Carménère,桑塔丽塔古园卡门红葡萄酒                              ,750,,Carménere/100% ,,,,,,"An intense ruby red color with violet hues. Rich
aromas of ripe, red fruit and fragrant spices dominate the bouquet. On the palate, it is a
fresh, light bodied and elegant wine with a commanding, fruity flavor rounded out by
soft tannins that give way to a pleasant and lingering finish. Always an outstanding
choice.
Food Pairing : Lamb, ripe cheeses, pastas a la Bolognese, chicken and stews. 浓郁的红宝石色边缘呈紫罗兰色，芳香的成熟红果和辛香占据优势，入口感觉清新，酒体轻盈优雅，果味浓郁，丹宁圆润，令人愉悦，回味绵长。
是您杰出的选择。
搭配：羊排，重味芝士，意大利面，鸡肉，炖肉类。
",,Santa_rita_gran_hacienda_carmenere_2007.png,¥	64.00,¥	45.00,¥	54.00,¥	203.00,351%,78%,ASC,
ON,by_btl,White,France,Bordeaux,Bordeaux Blanc,,2003,2011,Clarendelle Blanc,Clarendelle Blanc,克兰朵白葡萄酒                              ,750,,"Sauvignon 
Semillon

",,,,,,"Pale gold color with hints of green. Subtle aromas of white flowers and white fruits with touches of mineral notes. Rich palate fresh finish.
It perfectly matches Guangdong, Huaiyang and Shanghai cuisine. It is also delicious if enjoyed with Thai food that is rich in flavor.
色泽呈浅黄绿色，柚子，细腻的白花和白果芳香中夹带着一丝矿物质的气息。富裕的口感，回味清新。 与广东菜，淮阳菜系和上海菜搭配最完美。同样适于与香味丰富的泰国菜相搭配",,clarendelle_blanc_2005.png,¥	192.00,¥	150.00,¥	180.00,¥	480.00,220%,69%,ASC,
ON,by_btl,Red,Chile,Central Valley,,,4284,2011,,Concha y Toro “Sendero” Cabernet Sauvignon,天路卡本妮苏维翁红葡萄酒,750,,Cabernet Sauvignon,,,,,,"Deep, intense, ruby-red;
Notes of blackberries, black currant, chocolate, dry plums and vanilla;
Good body, harmonic, balanced and persistent aftertaste
红色带紫色光泽；
浆果、黑醋栗和巧克力的香味，以及干李子和香草气息；
酒体和谐，平衡。余味悠长持久",,Concha_Y_Toro_Sendero_Cabernet_Sauvignon_2007.png,¥	59.00,¥	50.00,¥	60.00,¥	220.00,340%,77%,SMG,
ON,by_btl,Red,Chile,Central Valley,Maipo,,4285,2011,,Carmen Cabernet Sauvignon,,750,,Cabernet Sauvignon,,,,,,,,,¥	77.00,¥	51.00,¥	61.20,¥	225.00,341%,77%,ASC,
ON,by_btl,White,France,Bordeaux,Graves,,2005,2007,Haut Mayne Blanc-Graves,"Château  Haut Mayne Blanc, Graves AOC",高美尼堡白葡萄酒                              ,750,,"Sauvignon Blanc
Semillon",,,,,,"Brilliant pale green colour with flashes of silver This wine offers a complex nose of citrus fruit, white flowers and vanilla. Remarkably clean on the palate, it leaves an impression of superbe balance and elegance. A delightful wine with a finish combining woody and floral touches to be enjoyed with freshwater fish. It's best served chilled at between 11°and 12°C.
此酒呈现明亮的绿色，边缘泛银色光泽。散发着混合了柑橘水果、白色花朵和香草气息的复杂香味。无与伦比的清新口感，给人留下了平衡度完美及优雅的印象。一款混合了木质和花香风味的佳酿，适宜搭配新鲜淡水鱼。建议冰镇至11至12度后享用。",,chateau_haut_Mayne_Graves_blanc.png,¥	164.00,¥	128.00,¥	153.60,¥	390.00,205%,67%,ASC,
ON,by_btl,White,France,Bourgogne,Bourgnone Blanc,,2007,2010,Maison Champy Bourgogne Chardonnay,Maison Champy Bourgogne Chardonnay Signature,香皮勃艮第霞多丽白葡萄酒,750,13.00%,Chardonnay,,,,,,"“风味明快，酒香浓郁，蕴含着些许烟熏芳香。完美展现了原产区的风土特质…一款适合即饮的上乘佳酿。”- Jancis Robinson，15.5/20分 。散发着浓郁的树木气息与柑橘芳香，层次分明而通透，口感醇香圆润，回味爽利甘冽。可即饮或窖藏一年左右。一款风格硬朗的勃艮第干白。”- Burghound，86分 ""Racy and rich and smoky fragrant. Lots on the nose for such a modest appellation…a nice wine for early drinking.""- 15.5/20 points, Jancis Robinson  “There is more obvious wood influence with more obvious citrus influence as well on the airy and layered nose that leads to slightly richer and rounder flavors that are slightly bigger as well while finishing with a similar finish that is dry, clean and crisp. This could also be drunk now or kept for a year or so. A very solid Bourgogne.” – 86 points, Burghound",,,¥	227.00,¥	182.00,¥	218.40,¥	460.00,153%,60%,TWR,
ON,by_btl,White,France,Bourgogne,Côte de Nuits,Vosne-Romanée,2008,2000,Leroy Bourgogne Blanc,Leroy Bourgogne Blanc,勒桦酒庄勃根蒂法定产区白葡萄酒  ,750,,Chardonnay/100% ,,,,,,"Delicious, easygoing white, offering apple, cream and mineral character, medium body and pretty finish.  
美味易喝的一款白葡萄酒，带来苹果，奶油和矿物质的特征。酒体为中等至饱满。",,Leroy_bourgogne_blanc_1997.png,¥	384.00,¥	299.00,¥	358.80,¥	750.00,151%,60%,ASC,
ON,by_btl,Red,China,Ningxia,,,4310,,,"Helan Mountain,Cabernet Sauvignon",贺兰山赤霞珠,750,,,,,,,,,,,,¥	54.00,¥	64.80,¥	218.00,304%,75%,PRC,
ON,by_btl,Red,Australia,South Australia,,,4199,2011,,Hewitson Tribute Shiraz ,紫蝴蝶  贡品 西拉干红葡萄酒,750,14.00%,Shiraz,,,,,,"阿德雷山附近的平原地区具有较暖的气候类型，这里出产的葡萄酒口味丰富、果香成熟、单宁复杂、酒体饱满、回味悠长。被视为 19世纪该区葡萄园开拓者和酿酒师贡品之作。The warmer plateaux of the  Adelaide region have a natural affinity for growing distinctively rich wine, with ripe fruit, complex tannins and a long, full-bodied palate. This wine is a tribute to the pioneering grape growers and wine makers of Adelaide in the 19th Century.",,,¥	99.00,¥	60.00,¥	72.00,¥	238.00,297%,75%,TWR,
ON,by_btl,White,France,Bourgogne,Bourgnone Blanc,,2009,2010,Laflaive Bourgogne Blanc,Domaine Laflaive Bourgogne Blanc,里费维庄园勃艮第白葡萄酒,750,13.5%,Chardonnay ,,,,,,"口感丰富紧密，带有苹果柠檬的香味，矿物感明显回味悠长                                                                                     Rich and concentrated, with apple, lemon and rhubarb flavors. Ends firm and long on the detailed finish, where a mineral accent lingers.",,Domaine_Laflaive_Bourgogne Blanc.png,¥	590.00,¥	443.00,¥	531.60,"¥	1,110.00",151%,60%,Watsons,
ON,by_btl,Red,France,Languedoc-Roissillon,,,4090,2011,,Fortant Cabernet Sauvignon,法国花都加本力苏维翁干红葡萄酒                              ,750,,Cabernet Sauvignon/100% ,,,,,,"
Deep purple in color. Generous with intense aromas of red fruit and vanilla. Well-balanced, powerful and round on the palate with a noticeably long finish.
Food Suggestions: Pairs perfectly with red meat, cheeses, sizzling pepper beef and roast duck.
 色泽深紫，红色水果和香草的气息开放且充沛，具良好均衡感，口感强劲且圆润，回味悠长。
与红肉，干酪，黑椒牛柳和烤鸭堪称绝配。

",,Fortant_cabernet_sauvignon_2008.png,¥	81.00,¥	63.00,¥	75.60,¥	252.00,300%,75%,ASC,
ON,by_btl,Sparkling,France,Loire,Loire Sparkling,,1028,NV,,Pierre Chainier Seduction Brut,谢尼酒庄干型起泡酒,750,11.0%,"Chenin Blanc
Ugni Blanc
Folle Blanche",,,,,,"Pale yellow color with hints of green. Numerous and fine bubbles. Fresh and delicate on the nose, with nice fruit aromas. An elegant wine, wellbalanced and pleasant.",,pierre_chainier_seduction_brut.png,¥	78.00,¥	65.00,¥	78.00,¥	258.00,297%,75%,EMW,
ON,by_btl,White,France,Bourgogne,Chablis,Petit Chablis,2010,2009,Jean-Marc Brocard Petit Chablis,Jean-Marc Brocard Petit Chablis,让·马克 小夏布利干白葡萄酒,750,12.00%,Chardonnay,,,,,,"散发着醇美可口的绿水果和柑橘的香气，口感丰富饱满，易于喜爱的清新回味Ripe and pretty aromas of primarily green fruit and citrus, very rich and round flavors, all wrapped in a fresh and easy to like finish. Burghound 87 points/Tart, brisk fruit, lovely weight. Not so petit! Good length too, outperforms the appellation expectation. Drink 2011-2012",,,,¥	148.00,¥	177.60,¥	390.00,164%,62%,TWR,
ON,by_btl,Red,Argentina,Cuyo,Mendoza,,4276,2011,,Doña Paula Malbec,褒莱夫人宝拉系列马尔白克红葡萄酒                              ,750,,Malbec/100% ,,,,,,"Our Paula Malbec 2008 presents a typical violet-red color. Its aromas of fresh red and black fruits, berries, spices and cigar box announce a smooth and round wine in mouth.
我们2008年的这款宝拉系列马尔白克呈现出典型的紫罗兰红色。他的芳香中有新鲜红色和黑色水果的香气，并伴随着梅子、香料及雪茄盒的气息，口感顺滑圆润。

",,dona_paula_malbec_nv.png,¥	85.00,¥	66.00,¥	79.20,¥	258.00,291%,74%,ASC,
ON,by_btl,White,France,Bourgogne,Chablis,,2011,2009,Corinne & Jean-Pierre Grossot Chablis,Domaine Corinne & Jean-Pierre Grossot Chablis,歌崇夏布利白葡萄酒,750,13.00%,Chardonay,,,,,,"Well balanced and refreshing, this bright and elegant Chardonay offers aromas of Lemon Peel, gooseberry and minerals. On the palate are flavors of citrus with hints of melon, 完美的平衡度，本款霞多丽明快而优雅。散发柠檬皮、鹅莓及矿物的芳香，并具有甜橙与些许甜瓜的口感",,Grossot_Chablis_2009.png,,¥	160.00,¥	192.00,¥	410.00,156%,61%,KER,
ON,by_btl,White,France,Bourgogne,Chablis,,2012,2010,J P Benoit Droin Chablis,Jean-Paul et Benoit Droin Chablis,朵林夏布利白葡萄酒,750,,Chardonnay ,,,,,,"有明显的矿物质味道，口感丰富愉快的，现在品尝具有轻微的果味
如果等待2或3年的话矿物质会更加丰富酒                     Have significant mineral flavor, taste rich happy, now has a slight taste of the fruit
If you wait for 2 or 3 years minerals will be more rich wine

",,Droin_Chablis.png,¥	230.00,¥	173.00,¥	207.60,¥	440.00,154%,61%,Watsons,
ON,by_btl,Red,Australia,South Australia,,,4200,2012,,Wolf Blass Bilyara Shiraz,澳大利亚禾富酒园神雕设拉子红葡萄酒                              ,750,,Shiraz/100% ,,,,,,"A fruit driven style with a bouquet of lifted spice, plum and red berry fruit characters and subtle oak overtones. The palate is of medium body, showing soft complex fruit flavors with rich berry characters. Soft tannins help finish the wine with a dry, lingering finish.
 Enjoy with BBQ meats and game. 
系属果香型葡萄酒，蕴含香料、李子及红莓的芬芳及微妙的橡木气息。中度酒体，口味复杂，富含浆果味道。单宁柔和，令其回味略干，持久绵长。
与烧烤及野味搭配美味可口。
",,wolf_blass_bilyara_shiraz.png,¥	89.00,¥	69.00,¥	82.80,¥	270.00,291%,74%,ASC,
